LA or CTY,RGN19NM,RGN19CD,GSS_CD,GSS_NM,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar
LA,East of England,E12000006,E06000034,Thurrock,1,2,3,6,8,10,13,15,15
LA,South West,E12000009,E06000027,Torbay,6,6,8,10,10,16,17,17,18
LA,London,E12000007,E09000030,Tower Hamlets,23,25,33,43,51,57,67,70,71
LA,North West,E12000002,E08000009,Trafford,12,14,13,15,19,23,28,31,40
LA,Yorkshire and The Humber,E12000003,E08000036,Wakefield,4,5,6,6,8,10,12,13,19
LA,West Midlands,E12000005,E08000030,Walsall,13,14,16,20,28,29,37,43,60
LA,London,E12000007,E09000031,Waltham Forest,7,14,17,23,38,50,56,61,63
LA,London,E12000007,E09000032,Wandsworth,21,59,75,98,107,110,113,155,184
LA,North West,E12000002,E06000007,Warrington,3,4,4,4,4,4,7,8,9
CTY,West Midlands,E12000005,E10000031,Warwickshire,4,10,11,13,17,29,35,52,59
LA,South East,E12000008,E06000037,West Berkshire,3,3,3,6,7,8,10,12,16
CTY,South East,E12000008,E10000032,West Sussex,10,10,16,19,27,27,28,52,57
LA,London,E12000007,E09000033,Westminster,58,68,78,99,110,117,134,143,152
LA,North West,E12000002,E08000010,Wigan,4,4,4,6,9,9,9,11,14
LA,South West,E12000009,E06000054,Wiltshire,7,9,12,17,20,23,28,34,39
LA,South East,E12000008,E06000040,Windsor and Maidenhead,9,10,13,13,13,13,13,13,13
LA,North West,E12000002,E08000015,Wirral,6,8,8,9,10,10,12,15,16
LA,South East,E12000008,E06000041,Wokingham,8,10,9,12,13,13,13,13,13
LA,West Midlands,E12000005,E08000031,Wolverhampton,18,22,28,39,45,52,69,81,98
CTY,West Midlands,E12000005,E10000034,Worcestershire,1,5,8,10,12,19,28,38,55
LA,Yorkshire and The Humber,E12000003,E06000014,York,3,4,5,6,8,10,10,11,14
